Name;Type;XEM Listed;XYM Listed
Stealthex;Exchanger;VERO;VERO
Changelly;Exchanger;VERO;VERO
Changenow;Exchanger;VERO;VERO
Alfa.cash;Exchanger;VERO;FALSO
Godex;Exchanger;VERO;FALSO
Changehero;Exchanger;VERO;FALSO
Bestrate;Exchanger;VERO;FALSO
Bitprime;Exchanger;VERO;FALSO
Cryptomate;Gateway;VERO;FALSO
Coinspot;Gateway;VERO;VERO
Coinpayments;Crypto Payments;VERO;FALSO
GMO;Exchange;VERO;FALSO
Spectrocoin;Exchange;VERO;FALSO
Atomars;Exchange;VERO;FALSO
Obmen;Exchange;VERO;VERO
Kaiserex;Exchange;VERO;FALSO
Buyucoin;Exchange;VERO;FALSO
New Capital Exchange;Exchange;VERO;VERO
